# ----------------------------------------
# All Web Site Data
# Pages
# 20160617-20160717
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value,,,,,
/terms,1,1,00:16:12,0,0.00%,0.00%,$0.00,,,,,
"/Search-Listing?type=&country=0&province=0&display=user&keys=test, hi",1,1,00:00:07,0,0.00%,0.00%,$0.00,,,,,
"/Search-Listing?type=&country=0&province=0&display=user&keys=consulting,",1,1,00:00:15,1,0.00%,0.00%,$0.00,,,,,
"/Search-Listing?keys=Underwriting&type=Life - Actuarial,Life - Other&country=13&province=0&display=user",1,1,00:00:05,0,0.00%,0.00%,$0.00,,,,,
"/Search-Listing?keys=Underwriting&type=Life - Actuarial,Life - Other&country=10&province=0&display=user",1,1,00:00:29,0,0.00%,0.00%,$0.00,,,,,
"/Search-Listing?keys=test&type=Non-Life - Actuarial,Non-Life - CAT Modeling,Non-Life - Other&country=5&province=0&display=user",1,1,00:00:02,0,0.00%,0.00%,$0.00,,,,,
"/Search-Listing?keys=test&type=Non-Life - Actuarial,Non-Life - CAT Modeling,Non-Life - Other&country=11&province=0&display=user",1,1,00:00:05,0,0.00%,0.00%,$0.00,,,,,
"/Search-Listing?keys=test&type=Non-Life - Actuarial,Non-Life - CAT Modeling,Non-Life - Other&country=0&province=0&display=user",1,1,00:00:07,0,0.00%,0.00%,$0.00,,,,,
"/Search-Listing?keys=test&type=Life - Actuarial,Life - Other&country=0&province=0&display=user",1,1,00:00:00,0,0.00%,100.00%,$0.00,,,,,
"/Search-Listing?keys=test&type=Life - Actuarial,Life - Other,Non-Life - Actuarial,Non-Life - CAT Modeling,Non-Life - Other&country=5&province=9&display=user",1,1,00:00:07,0,0.00%,0.00%,$0.00,,,,,
/Search-Listing?keys=test&type=3&country=4&province=9&display=user&lang=&cType=&title=&min=0&max=0,1,1,00:00:00,0,0.00%,100.00%,$0.00,,,,,
/Search-Listing?keys=test&type=3&country=4&province=3&display=user&lang=&cType=&title=&min=0&max=0,1,1,00:00:08,0,0.00%,0.00%,$0.00,,,,,
/Search-Listing?keys=test&type=3&country=4&province=0&display=user&lang=&cType=&title=&min=0&max=0,1,1,00:00:17,0,0.00%,0.00%,$0.00,,,,,
/Search-Listing?keys=test&type=3&country=0&province=0&display=user&lang=&cType=&title=&min=0&max=0,2,1,00:00:32,0,0.00%,0.00%,$0.00,,,,,
/Search-Listing?keys=test&type=&country=4&province=0&display=user&lang=&cType=&title=&min=0&max=0,1,1,00:05:48,0,0.00%,0.00%,$0.00,,,,,
/Search-Listing?keys=test&type=&country=0&province=0&display=user&lang=&cType=6&title=&min=4&max=5,1,1,00:00:10,0,0.00%,0.00%,$0.00,,,,,
/Search-Listing?keys=test&type=&country=0&province=0&display=user&lang=&cType=6&title=&min=0&max=0,1,1,00:00:05,0,0.00%,0.00%,$0.00,,,,,
/Search-Listing?keys=test&type=&country=0&province=0&display=user&lang=&cType=0&title=&min=4&max=5,1,1,00:00:08,0,0.00%,0.00%,$0.00,,,,,
/Search-Listing?keys=test&type=&country=0&province=0&display=user&lang=&cType=&title=&min=4&max=5,1,1,00:00:00,0,0.00%,100.00%,$0.00,,,,,
/Search-Listing?keys=test&type=&country=0&province=0&display=user&lang=&cType=&title=&min=0&max=0,1,1,00:02:44,0,0.00%,0.00%,$0.00,,,,,
"/Search-Listing?keys=test,Access,Accident and Health&type=1,2,3&country=0&province=0&display=user",1,1,00:00:13,0,0.00%,0.00%,$0.00,,,,,
/Search-Listing?keys=spanish&type=0&country=22&province=0&display=user,1,1,00:00:18,0,0.00%,0.00%,$0.00,,,,,
/Search-Listing?keys=spanish&type=&country=22&province=0&display=user,1,1,00:00:24,0,0.00%,0.00%,$0.00,,,,,
